"","Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","People practicing open defecation (% of population)","People using at least basic drinking water services (% of population)","People using at least basic sanitation services (% of population)","People using safely managed drinking water services (% of population)","People using safely managed sanitation services (% of population)","People with basic handwashing facilities including soap and water (% of population)","Population density (people per sq. km of land area)","Population, total","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"85","South-East Asia Region",2018,0.08,21.67,0.5,4.72,34.9277886255714,6.11054550888889,92.665071876,78.0965635244444,48.18680311,41.492344475,NA,411.491236282727,182724726.545455,185.080616605
"86","South-East Asia Region",2019,0.07,21.85,0.47,4.48,34.9277886255714,5.21858920033333,93.097624738,79.6968995722222,48.8223384485714,42.5583287383333,NA,418.18799634,184491266.181818,198.4484388775
"87","South-East Asia Region",2020,0.07,20.96,0.43,3.82,34.9277886255714,4.41902338755556,93.524198613,81.2803275855556,49.4225053128571,43.6542966316667,NA,424.880416447273,186182604.909091,134.180233732333
"88","South-East Asia Region",2021,0.06,20.91,0.41,3.35,34.9277886255714,3.65739480888889,93.923921427,82.8282739588889,49.8575230157143,44.720637605,NA,431.396500714545,187658228.727273,183.326744446833
"89","European Region",2000,0,5.69,0.33,0.18,32.229368902913,0.115898870204082,95.594829352,95.0463541916327,84.0642691761225,71.9940627740909,83.24600978,446.285263750333,16412886.990566,81.5320942041064
"90","European Region",2001,0,5.77,0.33,0.17,31.4799084785217,0.112141249734694,95.7123701276,95.1100716261224,84.2776091767347,72.2543704061364,83.81407216,446.816138967353,16437936.6509434,84.6437266558511
"91","European Region",2002,0,5.87,0.33,0.16,31.3363835814783,0.106556413387755,95.848353635,95.1999740942857,84.5241240102041,72.5385968247727,84.4217744,447.273609550235,16470715.509434,87.5369510062128
"92","European Region",2003,0,5.99,0.32,0.15,31.7618630885435,0.100903623081633,95.9842156878,95.2832593165306,84.7773066410204,72.8125218056818,85.04492049,447.600123554353,16515267.3207547,88.7515361898511
"93","European Region",2004,0,6.1,0.32,0.14,31.4939924305435,0.0952067906938776,96.1108659972,95.3811100197959,85.1891830091837,73.189409735,85.67044133,448.239302749078,16564430.7830189,95.1139036925745
"94","European Region",2005,0,6.19,0.31,0.13,31.5837778392174,0.0892033784081633,96.2464351548,95.5063528746939,85.7377391930612,73.5772298106818,86.29812671,448.109038799196,16612838.6509434,98.4349330888511
"95","European Region",2006,0,6.28,0.31,0.13,31.1017769374348,0.0832548104693877,96.3826895134,95.6321639312245,86.2883660306122,73.9947951934091,86.92841757,447.339332112549,16663259.0754717,105.520298374936
"96","European Region",2007,0,6.37,0.31,0.13,30.5255290740217,0.0773643629387755,96.5186509398,95.7565802002041,86.8395602332653,74.4118850793182,87.56089698,446.182186205686,16711537.3867925,117.870561152191
"97","European Region",2008,0,6.46,0.31,0.12,30.8319598808261,0.0715330259591837,96.6542967186,95.8807485902041,87.3865168469388,74.8441503309091,88.19595698,447.072214861961,16780157.4716981,117.753286319426
"98","European Region",2009,0,6.53,0.31,0.12,30.1855173487174,0.0657625695714286,96.7896577752,96.005533455102,87.9311740565306,75.3437833193182,88.83322921,453.393113543431,16848534.0754717,113.466676824468
"99","European Region",2010,0,6.57,0.31,0.12,30.177064768413,0.0601757036326531,96.9203823788,96.1298272761225,88.4927824444898,75.8541707065909,89.47290193,461.645203074118,16910996.0566038,114.219481557532
"100","European Region",2011,0,6.54,0.31,0.11,30.0049317657391,0.0546551015306122,97.0507810944,96.2540460542857,89.0204886840816,76.3882910965909,90.1149814,469.433827108176,16949708.7264151,118.437571662596
"101","WHO region",2000,NA,13.79,NA,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","WHO region",2001,NA,13.77,NA,4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","WHO region",2002,NA,13.76,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","WHO region",2003,NA,13.75,NA,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","WHO region",2004,NA,13.74,NA,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","WHO region",2005,NA,13.75,NA,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","WHO region",2006,NA,13.75,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","WHO region",2007,NA,13.74,NA,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","WHO region",2008,NA,13.73,NA,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","WHO region",2009,NA,13.71,NA,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","WHO region",2010,NA,13.67,NA,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","WHO region",2011,NA,13.58,NA,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","WHO region",2012,NA,13.4,NA,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","WHO region",2013,NA,13.19,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","WHO region",2014,NA,12.99,NA,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","WHO region",2015,NA,12.84,NA,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","WHO region",2016,NA,12.72,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","WHO region",2017,NA,12.61,NA,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","WHO region",2018,NA,12.53,NA,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","WHO region",2019,NA,12.52,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","WHO region",2020,NA,12.05,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","WHO region",2021,NA,12.06,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","European Region",2012,NA,6.46,0.31,0.11,29.9842098797609,0.049198614244898,97.179404803,96.3784609997959,89.4749081487755,76.9368719497727,90.75945374,477.793683300039,17018758.8301887,122.172646921298
"124","European Region",2013,NA,6.32,0.31,0.11,29.4397000453261,0.0438041334693878,97.3094419888,96.5027811163265,89.8964461822449,77.5313091586364,91.40914803,485.588537053098,17099634.8113208,128.08943067434
"125","European Region",2014,NA,6.15,0.31,0.11,29.2562677212391,0.0384698123265306,97.432165702,96.6270296016327,90.28791455,78.1330096731818,92.06318714,493.078738266255,17183779.8396226,133.349316685702
"126","European Region",2015,NA,5.97,0.31,0.11,29.1943231343261,0.0335631535510204,97.567890197,96.763132537551,90.576048217551,78.7503157763636,92.72079766,500.395434458608,17265530.1981132,140.750921423319
"127","European Region",2016,NA,5.65,0.31,0.11,29.084614308587,0.0289920404285714,97.6912472216,96.8952054691837,90.8431160067347,79.2689853461364,93.3810039,506.679777498588,17346722.1415094,145.527780394234
"128","European Region",2017,NA,5.19,0.31,0.11,29.7541295678478,0.0246727255918367,97.812186117,97.0152988318367,91.0820538344898,79.7469935511364,94.04294056,512.187560047706,17418865.9528302,146.922031781787
"129","European Region",2018,NA,4.74,0.31,0.11,29.7790599508478,0.0206601246326531,97.930641809,97.1182763877551,91.2864250540816,80.1704895311364,94.39591691,518.574617774961,17488298.5188679,147.630634957702
"130","European Region",2019,NA,4.46,0.31,0.11,29.3634587918913,0.0188933984285714,98.0360589076,97.2061747865306,91.437326252449,80.4419260672727,94.40049873,519.951351907647,17549986.3396226,155.702594526532
"131","European Region",2020,NA,4.1,0.29,0.09,29.1645244350652,0.0181022521428571,98.1192163186,97.2746809171429,91.5568445312245,80.6789562738636,94.40664487,520.602207002843,17596122.9150943,148.649405081149
"132","European Region",2021,NA,3.89,0.28,0.08,29.2479309804565,0.0176404533265306,98.1751828454,97.3240031079592,91.6120803302041,80.8831290415909,94.41437094,515.32512540002,17598921.6792453,162.612845780894
"133","Western Pacific Region",2000,NA,6.64,0.5,0.7,42.848067229,15.6669768804286,82.5660011528571,67.484937346087,47.5589344310667,54.49079244625,NA,378.27143976164,66853813.32,39.8196850400833
"134","Western Pacific Region",2001,NA,6.53,0.49,0.63,44.1730097241667,15.2503903615714,82.9493136461905,67.9793996708696,47.9073047213333,54.99941371,NA,385.8503823426,67411534.32,39.6180649825
